<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1994.02.22	1.47430	1.48150	1.47330	1.47950	1121	0	50
1994.02.23	1.47900	1.48200	1.47330	1.47910	1731	0	50
1994.02.24	1.47850	1.48950	1.47170	1.48470	2941	0	50
1994.02.25	1.48400	1.49430	1.47800	1.48860	2801	0	50
1994.02.28	1.48850	1.49050	1.48250	1.48580	1331	0	50
1994.03.01	1.48470	1.49400	1.48260	1.48910	1841	0	50
1994.03.02	1.48750	1.50050	1.48440	1.49670	2301	0	50
1994.03.03	1.49650	1.49970	1.49050	1.49640	1831	0	50
1994.03.04	1.49550	1.49650	1.48700	1.49010	1361	0	50
1994.03.07	1.48900	1.49330	1.48550	1.49010	1451	0	50
1994.03.08	1.48930	1.49130	1.48500	1.48950	1241	0	50
1994.03.09	1.48870	1.49800	1.48700	1.49760	1311	0	50
1994.03.10	1.49680	1.50600	1.49600	1.50320	1361	0	50
1994.03.11	1.50300	1.50520	1.49500	1.50010	1751	0	50
1994.03.14	1.50030	1.50110	1.49260	1.49670	1341	0	50
1994.03.15	1.49580	1.49750	1.48860	1.49070	1271	0	50
1994.03.16	1.49020	1.49600	1.48450	1.49430	1891	0	50
1994.03.17	1.49330	1.50050	1.49120	1.49360	1831	0	50
1994.03.18	1.49300	1.49600	1.48540	1.49110	1931	0	50
1994.03.21	1.48900	1.48960	1.48040	1.48960	1781	0	50
1994.03.22	1.49100	1.49440	1.48290	1.48940	2141	0	50
1994.03.23	1.48850	1.49900	1.48550	1.49720	1831	0	50
1994.03.24	1.49650	1.50000	1.49030	1.49650	1941	0	50
1994.03.25	1.49350	1.50400	1.49350	1.49710	1741	0	50
1994.03.28	1.49900	1.50000	1.49400	1.49650	951	0	50
1994.03.29	1.49550	1.50100	1.48150	1.48390	2741	0	50
1994.03.30	1.48230	1.48750	1.47340	1.48050	2641	0	50
1994.03.31	1.48000	1.49360	1.48000	1.48400	2321	0	50
1994.04.01	1.48350	1.48900	1.47100	1.47370	2621	0	50
1994.04.04	1.46950	1.47600	1.46400	1.46620	2071	0	50
1994.04.05	1.46560	1.47100	1.46070	1.46410	1911	0	50
1994.04.06	1.46280	1.47300	1.46250	1.46810	1571	0	50
1994.04.07	1.46730	1.47400	1.46550	1.47310	1121	0	50
1994.04.08	1.47300	1.47880	1.47200	1.47610	1051	0	50
1994.04.11	1.47700	1.47950	1.46750	1.47020	1721	0	50
1994.04.12	1.47070	1.47750	1.46600	1.47720	1651	0	50
1994.04.13	1.47580	1.48050	1.47270	1.47650	1491	0	50
1994.04.14	1.47600	1.47940	1.47230	1.47730	1291	0	50
1994.04.15	1.47630	1.47700	1.47000	1.47160	931	0	50
1994.04.18	1.47080	1.47850	1.46760	1.47660	1601	0	50
1994.04.19	1.47580	1.48400	1.47440	1.48160	1341	0	50
1994.04.20	1.48070	1.49550	1.47700	1.49210	2561	0	50
1994.04.21	1.49230	1.49900	1.48910	1.49220	1971	0	50
1994.04.22	1.49190	1.49350	1.48450	1.48860	1471	0	50
1994.04.25	1.48850	1.49520	1.48850	1.49170	1021	0	50
1994.04.26	1.49100	1.50850	1.48800	1.50500	2701	0	50
1994.04.27	1.50550	1.51150	1.50350	1.50520	1571	0	50
1994.04.28	1.50460	1.51550	1.50080	1.51360	2041	0	50
1994.04.29	1.51430	1.52600	1.50740	1.52000	3151	0	50
1994.05.02	1.51600	1.52100	1.51230	1.51620	1721	0	50
1994.05.03	1.51510	1.51600	1.50540	1.51360	1971	0	50
1994.05.04	1.51220	1.51470	1.49650	1.50210	2631	0	50
1994.05.05	1.50040	1.50200	1.49320	1.49920	1641	0	50
1994.05.06	1.49860	1.49930	1.48900	1.49360	1561	0	50
1994.05.09	1.49060	1.49900	1.48780	1.49800	1501	0	50
1994.05.10	1.49730	1.49940	1.48550	1.48880	1931	0	50
1994.05.11	1.48820	1.49630	1.48500	1.49470	1611	0	50
1994.05.12	1.49380	1.50350	1.49250	1.49940	1641	0	50
1994.05.13	1.49850	1.50150	1.49540	1.49910	1161	0	50
1994.05.16	1.49760	1.50550	1.49530	1.50260	1541	0	50
1994.05.17	1.50300	1.50880	1.50080	1.50270	1571	0	50
1994.05.18	1.50050	1.51150	1.49850	1.50820	1831	0	50
1994.05.19	1.50810	1.51100	1.50500	1.50800	1191	0	50
1994.05.20	1.50700	1.51520	1.50300	1.50650	2391	0	50
1994.05.23	1.50500	1.51160	1.50230	1.50750	1611	0	50
1994.05.24	1.50630	1.51000	1.50300	1.50600	1371	0	50
1994.05.25	1.50510	1.51320	1.50330	1.50970	1521	0	50
1994.05.26	1.50890	1.51250	1.50700	1.51000	991	0	50
1994.05.27	1.50970	1.51150	1.50470	1.51080	1251	0	50
1994.05.30	1.51020	1.51100	1.50600	1.50980	961	0	50
1994.05.31	1.50950	1.51340	1.50650	1.51150	1181	0	50
1994.06.01	1.51090	1.52080	1.50950	1.51650	1701	0	50
1994.06.02	1.51630	1.52020	1.50700	1.51100	2111	0	50
1994.06.03	1.50980	1.51100	1.50150	1.50550	1471	0	50
1994.06.06	1.50400	1.51030	1.50200	1.50770	1291	0	50
1994.06.07	1.50700	1.51200	1.50350	1.51000	1401	0	50
1994.06.08	1.50940	1.51320	1.50500	1.51100	1481	0	50
1994.06.09	1.51070	1.51250	1.50550	1.51050	1381	0	50
1994.06.10	1.50900	1.51200	1.50350	1.50950	1651	0	50
1994.06.13	1.50850	1.52350	1.50700	1.52200	1951	0	50
1994.06.14	1.52170	1.52600	1.51620	1.51900	1691	0	50
1994.06.15	1.51650	1.52330	1.51590	1.52150	981	0	50
1994.06.16	1.52080	1.52550	1.51850	1.52020	1341	0	50
1994.06.17	1.52020	1.53800	1.51550	1.53550	2971	0	50
1994.06.20	1.53420	1.54240	1.52930	1.53800	2241	0	50
1994.06.21	1.53740	1.54750	1.53420	1.54150	2251	0	50
1994.06.22	1.54170	1.54300	1.52700	1.53080	2111	0	50
1994.06.23	1.52900	1.54300	1.52750	1.53850	2151	0	50
1994.06.24	1.53780	1.55690	1.53300	1.55300	3261	0	50
1994.06.27	1.55370	1.55950	1.54250	1.54510	2541	0	50
1994.06.28	1.54420	1.55500	1.54100	1.55260	1961	0	50
1994.06.29	1.55180	1.55740	1.54400	1.54590	2091	0	50
1994.06.30	1.54500	1.55130	1.53350	1.54480	3541	0	50
1994.07.01	1.54320	1.54550	1.52960	1.53800	2661	0	50
1994.07.04	1.53480	1.54290	1.53220	1.53840	1781	0	50
1994.07.05	1.53820	1.54500	1.53550	1.54370	1351	0	50
1994.07.06	1.54400	1.55330	1.53980	1.54500	2601	0	50
1994.07.07	1.54380	1.54600	1.53400	1.54120	2141	0	50
1994.07.08	1.53980	1.55310	1.53660	1.55000	2281	0	50
1994.07.11	1.55500	1.57600	1.55300	1.57320	2781	0	50
1994.07.12	1.57270	1.57700	1.56650	1.56900	1731	0	50
1994.07.13	1.56780	1.57450	1.56300	1.56400	1921	0	50
1994.07.14	1.56290	1.56990	1.55500	1.55920	2611	0	50
1994.07.15	1.56000	1.56270	1.55490	1.56200	1361	0	50
1994.07.18	1.56160	1.56650	1.55950	1.56160	1401	0	50
1994.07.19	1.56070	1.56480	1.54600	1.54840	2531	0	50
1994.07.20	1.54820	1.55250	1.53990	1.54700	2401	0	50
1994.07.21	1.54300	1.55220	1.52000	1.52510	4651	0	50
1994.07.22	1.52380	1.53500	1.52100	1.52750	2431	0	50
1994.07.25	1.53070	1.53800	1.52900	1.53080	1791	0	50
1994.07.26	1.53050	1.53360	1.52050	1.52470	2041	0	50
1994.07.27	1.52440	1.53500	1.52300	1.53250	1591	0	50
1994.07.28	1.53200	1.53870	1.52450	1.52770	2411	0	50
1994.07.29	1.52820	1.54530	1.52400	1.54400	2681	0	50
1994.08.01	1.55250	1.55350	1.53430	1.53620	2211	0	50
1994.08.02	1.53600	1.54320	1.53450	1.53570	1711	0	50
1994.08.03	1.53450	1.54350	1.53390	1.54300	1071	0	50
1994.08.04	1.54100	1.54400	1.53300	1.53600	1701	0	50
1994.08.05	1.53600	1.54700	1.53300	1.54200	2201	0	50
1994.08.08	1.54380	1.54800	1.53740	1.54100	1841	0	50
1994.08.09	1.54000	1.54150	1.53350	1.53940	1541	0	50
1994.08.10	1.53900	1.54180	1.53500	1.53780	1241	0	50
1994.08.11	1.53600	1.55460	1.52960	1.54650	3951	0	50
1994.08.12	1.54650	1.55340	1.54300	1.54800	1931	0	50
1994.08.15	1.54490	1.54900	1.54010	1.54240	1531	0	50
1994.08.16	1.54150	1.55000	1.52620	1.53990	4601	0	50
1994.08.17	1.53890	1.54480	1.53450	1.54350	1601	0	50
1994.08.18	1.54250	1.55240	1.53780	1.54790	2381	0	50
1994.08.19	1.54780	1.55430	1.54390	1.54770	2071	0	50
1994.08.22	1.54900	1.55870	1.54470	1.55700	2001	0	50
1994.08.23	1.55630	1.55880	1.54750	1.55620	2251	0	50
1994.08.24	1.55530	1.55950	1.54990	1.55300	1691	0	50
1994.08.25	1.55210	1.55920	1.54570	1.55670	2241	0	50
1994.08.26	1.55470	1.56250	1.52300	1.53050	5481	0	50
1994.08.29	1.52770	1.54100	1.52040	1.53610	3281	0	50
1994.08.30	1.53490	1.53960	1.52920	1.53400	1991	0	50
1994.08.31	1.53370	1.54070	1.53100	1.53520	1791	0	50
1994.09.01	1.53430	1.54980	1.53150	1.54670	2421	0	50
1994.09.02	1.54490	1.55260	1.53630	1.55260	2491	0	50
1994.09.05	1.54650	1.55350	1.54360	1.54620	1951	0	50
1994.09.06	1.54480	1.55700	1.54210	1.55170	2291	0	50
1994.09.07	1.55040	1.55500	1.54120	1.54500	2221	0	50
1994.09.08	1.54400	1.54970	1.54020	1.54450	1851	0	50
1994.09.09	1.54370	1.55590	1.53850	1.55380	2471	0	50
1994.09.12	1.55160	1.57410	1.54950	1.56990	3091	0	50
1994.09.13	1.56860	1.57330	1.55790	1.56500	2721	0	50
1994.09.14	1.56360	1.57130	1.56210	1.56660	1541	0	50
1994.09.15	1.56550	1.56750	1.55990	1.56240	1211	0	50
1994.09.16	1.56130	1.59020	1.56070	1.57920	4111	0	50
1994.09.19	1.57790	1.58370	1.56340	1.56890	3161	0	50
1994.09.20	1.56790	1.57960	1.56220	1.57510	2761	0	50
1994.09.21	1.57330	1.58100	1.57240	1.57900	1151	0	50
1994.09.22	1.57780	1.58010	1.57230	1.57530	1311	0	50
1994.09.23	1.57430	1.58420	1.57220	1.57870	1961	0	50
1994.09.26	1.57660	1.57920	1.56850	1.57350	1831	0	50
1994.09.27	1.57230	1.58690	1.57000	1.58150	2461	0	50
1994.09.28	1.58050	1.58390	1.57120	1.57510	2001	0	50
1994.09.29	1.57390	1.58350	1.57320	1.57790	1661	0	50
1994.09.30	1.57680	1.58400	1.57150	1.57770	2411	0	50
1994.10.03	1.57660	1.58530	1.57290	1.57910	2231	0	50
1994.10.04	1.57820	1.58400	1.57640	1.58280	1061	0	50
1994.10.05	1.58090	1.59010	1.57800	1.58390	2121	0	50
1994.10.06	1.58350	1.59370	1.58160	1.59200	1571	0	50
1994.10.07	1.59080	1.59700	1.58310	1.58630	2331	0	50
1994.10.10	1.58500	1.58990	1.58150	1.58520	1661	0	50
1994.10.11	1.58360	1.58680	1.57580	1.58070	1911	0	50
1994.10.12	1.57970	1.58470	1.57770	1.58310	1061	0	50
1994.10.13	1.58160	1.59380	1.57760	1.59380	2021	0	50
1994.10.14	1.59050	1.59780	1.58680	1.59670	1581	0	50
1994.10.17	1.59100	1.61550	1.59100	1.60860	3141	0	50
1994.10.18	1.60790	1.61750	1.60470	1.61380	1971	0	50
1994.10.19	1.61280	1.62470	1.60990	1.62470	1771	0	50
1994.10.20	1.62290	1.63400	1.61650	1.63100	2691	0	50
1994.10.21	1.62960	1.63590	1.62200	1.62650	2471	0	50
1994.10.24	1.62710	1.63510	1.62460	1.63360	1451	0	50
1994.10.25	1.63350	1.64200	1.63170	1.63540	1871	0	50
1994.10.26	1.63350	1.64080	1.62930	1.63870	1781	0	50
1994.10.27	1.63650	1.64140	1.63390	1.63570	1421	0	50
1994.10.28	1.63480	1.64040	1.61550	1.62310	3811	0	50
1994.10.31	1.61850	1.63990	1.61850	1.63650	2481	0	50
1994.11.01	1.63550	1.64060	1.62850	1.63550	2421	0	50
1994.11.02	1.63450	1.64500	1.61520	1.62300	4811	0	50
1994.11.03	1.62000	1.62750	1.61050	1.61710	3111	0	50
1994.11.04	1.61690	1.62160	1.60470	1.61620	3311	0	50
1994.11.07	1.61640	1.61900	1.61150	1.61520	1381	0	50
1994.11.08	1.61480	1.62470	1.61230	1.62020	1941	0	50
1994.11.09	1.61980	1.62450	1.60040	1.60550	3391	0	50
1994.11.10	1.60550	1.60970	1.59350	1.60140	2831	0	50
1994.11.11	1.60100	1.60450	1.59480	1.59810	1651	0	50
1994.11.14	1.59520	1.59700	1.58330	1.58670	1891	0	50
1994.11.15	1.58610	1.59150	1.56800	1.57120	3211	0	50
1994.11.16	1.57100	1.57650	1.56310	1.57340	2441	0	50
1994.11.17	1.57380	1.57900	1.56940	1.56980	1521	0	50
1994.11.18	1.56860	1.57350	1.56310	1.56670	1891	0	50
1994.11.21	1.56540	1.57110	1.56350	1.56850	1211	0	50
1994.11.22	1.56900	1.57320	1.56550	1.57010	1431	0	50
1994.11.23	1.57000	1.57660	1.56750	1.57100	1721	0	50
1994.11.24	1.57000	1.57080	1.55950	1.56080	1341	0	50
1994.11.25	1.56070	1.56600	1.56030	1.56310	901	0	50
1994.11.28	1.56150	1.56580	1.55850	1.56410	1201	0	50
1994.11.29	1.56300	1.57050	1.56030	1.56400	1941	0	50
1994.11.30	1.56310	1.57050	1.55950	1.56620	1891	0	50
1994.12.01	1.56540	1.57300	1.56330	1.56690	1791	0	50
1994.12.02	1.56630	1.56850	1.55680	1.55970	1681	0	50
